	sort	permil	freq
142	любвеобильный	0.737405120541157	3.0
143	коневское	0.24580170684705235	1.0
144	светлейте	0.24580170684705235	1.0
145	спленника	0.24580170684705235	1.0
146	богоподражательное	0.24580170684705235	1.0
147	скоротекущим	0.24580170684705235	1.0
148	пасе	2.212215361623471	9.0
149	притяглся	0.4916034136941047	2.0
150	певче	0.24580170684705235	1.0
151	поруганныя	0.24580170684705235	1.0
152	объявшая	0.24580170684705235	1.0
153	знаменавшияся	0.24580170684705235	1.0
154	предъуготовляет	0.737405120541157	3.0
155	архиерейвсе	0.24580170684705235	1.0
156	боровский	0.24580170684705235	1.0
157	путеводити	0.24580170684705235	1.0
158	подъята	0.24580170684705235	1.0
159	удушив	0.24580170684705235	1.0
160	прогнаста	0.4916034136941047	2.0
161	честныма	0.24580170684705235	1.0
162	светолепная	0.24580170684705235	1.0
163	опаля	0.24580170684705235	1.0
164	распространения	0.24580170684705235	1.0
165	теба	0.4916034136941047	2.0
166	единонравие	0.24580170684705235	1.0
167	собравшеея	0.24580170684705235	1.0
168	задонский	0.24580170684705235	1.0
169	хитросплетенныя	0.24580170684705235	1.0
170	овещах	0.24580170684705235	1.0
171	прозревшим	0.24580170684705235	1.0
172	пощениях	0.24580170684705235	1.0
173	приличной	0.24580170684705235	1.0
174	конском	0.4916034136941047	2.0
175	ратованием	0.24580170684705235	1.0
176	очищенныма	0.24580170684705235	1.0
177	войско	0.737405120541157	3.0
178	палеостров	0.24580170684705235	1.0
179	возъимеет	0.24580170684705235	1.0
180	зияше	0.24580170684705235	1.0
181	преобразоваше	0.4916034136941047	2.0
182	сликовствующа	0.24580170684705235	1.0
183	оружся	0.24580170684705235	1.0
184	уподобльшихся	0.24580170684705235	1.0
185	отклони	0.4916034136941047	2.0
186	несению	0.24580170684705235	1.0
187	нелицемерной	0.24580170684705235	1.0
188	премрную	0.24580170684705235	1.0
189	всесожжена	0.24580170684705235	1.0
190	образовался	0.24580170684705235	1.0
191	твоеяподаждь	0.24580170684705235	1.0
192	утасиша	0.24580170684705235	1.0
193	ломским	0.24580170684705235	1.0
194	обрящемея	0.24580170684705235	1.0
195	милостивого	1.2290085342352617	5.0
196	решти	0.24580170684705235	1.0
197	путьшествующим	0.24580170684705235	1.0
198	боголюбезныя	0.4916034136941047	2.0
199	объемлющ	0.24580170684705235	1.0
200	самима	0.24580170684705235	1.0
201	заступниками	0.24580170684705235	1.0
202	жегом	0.24580170684705235	1.0
203	обливаются	0.24580170684705235	1.0
204	освящние	0.24580170684705235	1.0
205	отражаеши	0.24580170684705235	1.0
206	водворилося	0.24580170684705235	1.0
207	святолепная	0.4916034136941047	2.0
208	всетворящий	0.24580170684705235	1.0
209	сохраняше	0.4916034136941047	2.0
210	хитростныя	0.24580170684705235	1.0
211	еса	0.737405120541157	3.0
212	приобщающияся	0.24580170684705235	1.0
213	утешаемсямолим	0.24580170684705235	1.0
214	истинаго	0.24580170684705235	1.0
215	суесловящих	0.24580170684705235	1.0
216	изъявивый	0.24580170684705235	1.0
217	ати	0.24580170684705235	1.0
218	припадающим	6.63664608487041	26.999999999999986
219	напастующия	0.24580170684705235	1.0
220	самуилов	0.24580170684705235	1.0
221	святыйот	0.24580170684705235	1.0
222	увлечений	0.24580170684705235	1.0
